Judet;CIF Entitate Publica;Denumire Entitate Publica;Denumire UAT pe raza careia isi desfasoara activitatea;Adresa de corespondenta;CIF Ordonator  principal  de credite (1);Denumire ordonator  principal de credite (1);CIF Ordonator  principal  de credite (2);Denumire ordonator  principal de credite (2)
Maramures;3627315;JUDETUL MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA Gh.Sincai, Numar 46, Bloc/Scara , Sector , Cod postal 430311;;;;
Maramures;3627323;INSPECTORATUL DE POLITIE AL JUDETULUI MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA 22 DECEMBRIE, Numar 37, Bloc/Scara , Sector , Cod postal 430314;4267095;MINISTERUL AFACERILOR INTERNE;;
Maramures;3627331;DIRECTIA JUDETEANA PENTRU CULTURA MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA Pictorilor, Numar 4, Bloc/Scara , Sector , Cod postal 430145;4192812;Ministerul Culturii;;
Maramures;3627340;UNITATEA MILITARA 0716 BAIA MARE;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, BULEVARD UNIRII, Numar 34, Bloc/Scara , Sector , Cod postal 430232;4267095;MINISTERUL AFACERILOR INTERNE;;
Maramures;3627358;COMUNA BICAZ;Comuna Bicaz;Maramures, Comuna Bicaz, STRADA PRINCIPALA, Numar 85, Bloc/Scara , Sector , Cod postal 437040;;;;
Maramures;3627374;COMUNA CICIRLAU;Comuna Cicarlau;Maramures, Comuna Cicarlau, STRADA UNIRII, Numar 1, Bloc/Scara , Sector , Cod postal 437095;;;;
Maramures;3627382;ORASUL SALISTEA DE SUS;Orasul Salistea de Sus;Maramures, Orasul Salistea de Sus, SOSEA SOSEA, Numar 204, Bloc/Scara , Sector , Cod postal 437295;;;;
Maramures;3627390;COMUNA SACALASENI;Comuna Sacalaseni;Maramures, Comuna Sacalaseni, STRADA UNIRII, Numar 87, Bloc/Scara , Sector , Cod postal 437280;;;;
Maramures;3627412;COMUNA  ARINIS;Comuna Arinis;Maramures, Comuna Arinis, DRUM PRINCIPALA, Numar 65, Bloc/Scara , Sector , Cod postal 437010;;;;
Maramures;3627420;CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA TARGU LAPUS;Orasul Targu Lapus;Maramures, Orasul Targu Lapus, STRADA PIATA EROILOR, Numar 31, Bloc/Scara , Sector , Cod postal 435600;3627315;JUDETUL MARAMURES;13729380;MINISTERUL EDUCATIEI NATIONALE
Maramures;3627447;CASA CORPULUI DIDACTIC;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA PETOFI SANDOR, Numar 12-14, Bloc/Scara , Sector , Cod postal 430165;13729380;MINISTERUL  EDUCATIEI NATIONALE;;
Maramures;3627455;SCOALA GIMNAZIALA SPECIALA BAIA MARE;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA B. St. Delavrancea, Numar 25 A, Bloc/Scara , Sector , Cod postal 430292;13729380;MINISTERUL EDUCATIEI NATIONALE;3627315;JUDETUL MARAMURES
Maramures;3627501;SPITALUL DE BOLI INFECTIOASE SI PSIHIATRIE BAIA MARE;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA VASILE LUCACIU, Numar 72, Bloc/Scara , Sector , Cod postal 430341;3627315;JUDETUL MARAMURES;;
Maramures;3627528;COMUNA VIMA MICA;Comuna Vima Mica;Maramures, Comuna Vima Mica, STRADA VIMA MICA, Numar 23, Bloc/Scara , Sector , Cod postal 437380;;;;
Maramures;3627536;COMUNA SACEL;Comuna Sacel;Maramures, Comuna Sacel, Sat SACEL, Numar 1375, Bloc/Scara , Sector , Cod postal 437290;;;;
Maramures;3627544;ORAS BORSA;Orasul Borsa;Maramures, Orasul Borsa, STRADA FLOARE DE COLT, Numar 1A, Bloc/Scara , Sector , Cod postal 435200;;;;
Maramures;3627552;COMUNA RUSCOVA;Comuna Ruscova;Maramures, Comuna Ruscova, STRADA RUSCOVA, Numar 903, Bloc/Scara , Sector , Cod postal 437260;;;;
Maramures;3627560;ORASUL DRAGOMIRESTI;Orasul Dragomiresti;Maramures, Orasul Dragomiresti, STRADA 1 DECEMBRIE  1918, Numar 151, Bloc/Scara , Sector , Cod postal 437140;;;;
Maramures;3627579;COMUNA BOGDAN VODA;Comuna Bogdan Voda;Maramures, Comuna Bogdan Voda, STRADA PRINCIPLA, Numar 363, Bloc/Scara , Sector , Cod postal 437055;;;;
Maramures;3627587;SPITALUL MUNICIPAL SIGHETU MARMATIEI;Municipiul Sighetu Marmatiei;Maramures, Municipiul Sighetu Marmatiei, STRADA AVRAM IANCU, Numar 22-24, Bloc/Scara , Sector , Cod postal 435500;3695174;MUNICIPIUL SIGHETU MARMATIEI;;
Maramures;3627595;ORASUL CAVNIC;Orasul Cavnic;Maramures, Orasul Cavnic, STRADA 22 DECEMBRIE, Numar 7, Bloc/Scara , Sector , Cod postal 435300;;;;
Maramures;3627617;CENTRU CULTURAL SI SPORTIV PINTEA VITEAZUL CAVNIC;Orasul Cavnic;Maramures, Orasul Cavnic, STRADA 22 DECEMBRIE, Numar 25, Bloc/Scara , Sector , Cod postal 435300;3627595;ORASUL CAVNIC;;
Maramures;3627625;COMUNA MIRESU MARE;Comuna Miresu Mare;Maramures, Comuna Miresu Mare, STRADA NIRESU MARE, Numar 486, Bloc/Scara , Sector , Cod postal 437185;;;;
Maramures;3627641;ORASUL VISEU DE SUS;Orasul Viseu de Sus;Maramures, Orasul Viseu de Sus, STRADA 22 DECEMBRIE, Numar 17, Bloc/Scara , Sector , Cod postal 435700;;;;
Maramures;3627650;LICEUL TEHNOLOGIC FORESTIER SIGHETU MARMATIEI;Municipiul Sighetu Marmatiei;Maramures, Municipiul Sighetu Marmatiei, STRADA DRAGOS VODA, Numar 43, Bloc/Scara , Sector , Cod postal 435500;3695174;MUNICIPIUL SIGHETU MARMATIEI;13729380;MINISTERUL EDUCATIEI NATIONALE
Maramures;3627684;COMUNA PETROVA;Comuna Petrova;Maramures, Comuna Petrova, DRUM DRUM, Numar 792, Bloc/Scara , Sector , Cod postal 437210;;;;
Maramures;3627692;MUNICIPIUL BAIA MARE;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA GHEORGHE SINCAI, Numar 37, Bloc/Scara , Sector , Cod postal 430311;;;;
Maramures;3627714;CENTRUL DE TRANSFUZIE SANGUINA MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA GEORGE COSBUC, Numar 20 C, Bloc/Scara , Sector , Cod postal 430245;4266456;MINISTERUL SANATATII;;
Maramures;3627722;COMUNA GROSI;Comuna Grosi;Maramures, Comuna Grosi, STRADA MIHAI VITEAZU, Numar 50, Bloc/Scara , Sector , Cod postal 437165;;;;
Maramures;3627757;COMUNA RECEA;Comuna Recea;Maramures, Comuna Recea, STRADA PRIMARIEI, Numar 2, Bloc/Scara , Sector , Cod postal 437225;;;;
Maramures;3627765;ORASUL SEINI;Orasul Seini;Maramures, Orasul Seini, STRADA Piata Unirii, Numar 16, Bloc/Scara , Sector , Cod postal 435400;;;;
Maramures;3627773;COMUNA SALSIG;Comuna Salsig;Maramures, Comuna Salsig, STRADA SALSIG, Numar 400A, Bloc/Scara , Sector , Cod postal 437300;;;;
Maramures;3627803;COMUNA DUMBRAVITA;Comuna Dumbravita;Maramures, Comuna Dumbravita, STRADA Dumbravita, Numar 225, Bloc/Scara , Sector , Cod postal 437145;;;;
Maramures;3627811;CENTRUL JUDETEAN PENTRU CONSERVAREA SI PROMOVAREA CULTURII TRADITIONALE LIVIU BORLAN MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA CULTURII, Numar 7A, Bloc/Scara , Sector , Cod postal 430316;3627315;JUDETUL MARAMURES;;
Maramures;3627838;MUZEUL JUDETEAN DE MINERALOGIE VICTOR GORDUZA;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, BULEVARD TRAIAN, Numar 8, Bloc/Scara 0, Sector 0, Cod postal 430211;3627315;CONSILIUL JUDETEAN MARAMURES;;
Maramures;3627846;ANSAMBLUL FOLCLORIC NATIONAL TRANSILVANIA;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, BULEVARD INDEPENDENTEI, Numar 4, Bloc/Scara , Sector , Cod postal 430123;3627315;JUDETUL MARAMURES;;
Maramures;3627862;COMUNA ROZAVLEA;Comuna Rozavlea;Maramures, Comuna Rozavlea, STRADA , Numar 348, Bloc/Scara , Sector , Cod postal 437255;;;;
Maramures;3627870;COMUNA ARDUSAT;Comuna Ardusat;Maramures, Comuna Ardusat, STRADA PRINCIPALA, Numar 30, Bloc/Scara , Sector , Cod postal 437005;;;;
Maramures;3627889;COMUNA VISEU DE JOS;Comuna Viseu de Jos;Maramures, Comuna Viseu de Jos, STRADA PRINCIPALA, Numar 1028, Bloc/Scara , Sector , Cod postal 437390;;;;
Maramures;3627897;COMUNA CERNESTI;Comuna Cernesti;Maramures, Comuna Cernesti, STRADA PRINCIPALA, Numar 146, Bloc/Scara , Sector , Cod postal 437085;;;;
Maramures;3627935;DIRECTIA JUDETEANA DE STATISTICA MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA Gheorghe Sincai, Numar 46, Bloc/Scara , Sector , Cod postal 430011;4283422;SECRETARIATUL GENERAL AL GUVERNULUI;;
Maramures;3627943;LICEUL TEORETIC BOGDAN VODA;Orasul Viseu de Sus;Maramures, Orasul Viseu de Sus, STRADA MIHAI EMINESCU, Numar 1, Bloc/Scara , Sector , Cod postal 435700;13729380;MINISTERUL EDUCATIEI NATIONALE;3627641;ORAS VISEU DE SUS
Maramures;3694497;COMUNA BAIUT;Comuna Baiut;Maramures, Comuna Baiut, STRADA BAIUT, Numar 413, Bloc/Scara , Sector , Cod postal 437025;;;;
Maramures;3694519;SCOALA GIMNAZIALA MIHAI OLOS ARINIS;Comuna Arinis;Maramures, Comuna Arinis, STRADA ARINIS, Numar 11, Bloc/Scara , Sector , Cod postal 437010;3627412;COMUNA ARINIS;13729380;MINISTERUL EDUCATIEI NATIONALE
Maramures;3694527;COMUNA BOCICOIU MARE;Comuna Bocicoiu Mare;Maramures, Comuna Bocicoiu Mare, STRADA BOCICOIU MARE, Numar 136, Bloc/Scara , Sector , Cod postal 437050;;;;
Maramures;3694535;COMUNA OCNA SUGATAG;Comuna Ocna Sugatag;Maramures, Comuna Ocna Sugatag, STRADA UNIRII, Numar 66, Bloc/Scara , Sector , Cod postal 437205;;;;
Maramures;3694543;COMUNA VALEA CHIOARULUI;Comuna Valea Chioarului;Maramures, Comuna Valea Chioarului, STRADA VALEA CHIOARULUI, Numar 194, Bloc/Scara , Sector , Cod postal 437370;;;;
Maramures;3694560;SPITAL DE PSIHIATRIE CAVNIC;Orasul Cavnic;Maramures, Orasul Cavnic, STRADA UNIRII, Numar 4, Bloc/Scara , Sector , Cod postal 435300;3627595;ORAS CAVNIC;;
Maramures;3694586;COMUNA REMETEA CHIOARULUI;Comuna Remetea Chioarului;Maramures, Comuna Remetea Chioarului, STRADA Remetea Chioarului, Numar 80, Bloc/Scara , Sector , Cod postal 437230;;;;
Maramures;3694594;SPITALUL JUDETEAN DE URGENTA DR.CONSTANTIN OPRIS;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA George Cosbuc, Numar 31, Bloc/Scara , Sector , Cod postal 430031;3627315;JUDETUL  MARAMURES;;
Maramures;3694608;COLEGIUL NATIONAL GHEORGHE SINCAI;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA Gheorghe Sincai, Numar 25, Bloc/Scara , Sector , Cod postal 430311;3627692;MUNICIPIUL BAIA MARE;13729380;MINISTERUL EDUCATIEI NATIONALE
Maramures;3694632;COMUNA FARCASA;Comuna Farcasa;Maramures, Comuna Farcasa, STRADA INDEPENDENTEI, Numar 59, Bloc/Scara , Sector , Cod postal 437155;;;;
Maramures;3694667;COMUNA  BUDESTI;Comuna Budesti;Maramures, Comuna Budesti, STRADA PRINCIPALA, Numar 816, Bloc/Scara , Sector , Cod postal 437070;;;;
Maramures;3694675;COMUNA POIENILE DE SUB MUNTE;Comuna Poienile de sub Munte;Maramures, Comuna Poienile de sub Munte, STRADA POIENILE DE SUB MUNTE, Numar 382, Bloc/Scara , Sector , Cod postal 437220;;;;
